Iteration				Integer Solution(theta(x))			L(delta)			Integral Gap
       126			     340.010105  				       340.117104302   			0.106999302132
       127			     340.010105  				       340.115189886   			0.105084885668
       128			     340.010105  				       340.112839198   			0.102734198358
       129			     340.010105  				       340.111006084   			0.100901084366
       130			     340.010105  				       340.109285806   			0.0991808057553
       131			      340.10648  				       340.107811782   			0.00133178162633
       132			      340.10648  				       340.107513396   			0.0010333962145
       133			      340.10648  				       340.106725145   			0.000245144976418
       134			      340.10648  				       340.106491637   			1.16365025065e-05
       135			      340.10648  				        340.10649086   			1.08597344024e-05

No of iterations  = 135

Max-MAP(theta)		Min-L(delta)		Integrality gap
340.10648		340.10649086		1.08597344024e-05
Iteration at which you find MAX(Theta) 111
MAP Assignment {0: 1, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 2, 13: 1, 14: 0, 15: 2, 16: 0, 17: 0, 18: 2, 19: 6, 20: 0, 21: 0, 22: 0, 23: 2, 24: 0, 25: 10, 26: 0, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0, 32: 4, 33: 0, 34: 0, 35: 0, 36: 0, 37: 0, 38: 5, 39: 1, 40: 2, 41: 0, 42: 0, 43: 0, 44: 0, 45: 2, 46: 0, 47: 0, 48: 0, 49: 0, 50: 2, 51: 0, 52: 0, 53: 2, 54: 0, 55: 0, 56: 0, 57: 0, 58: 2, 59: 3, 60: 0, 61: 1, 62: 1, 63: 0, 64: 0, 65: 1, 66: 0, 67: 4, 68: 0, 69: 0, 70: 1, 71: 0, 72: 0, 73: 0, 74: 0, 75: 0, 76: 4, 77: 0, 78: 7, 79: 0, 80: 0, 81: 2, 82: 0, 83: 0, 84: 0, 85: 0, 86: 4, 87: 0, 88: 3, 89: 31, 90: 15, 91: 0, 92: 5, 93: 0, 94: 0, 95: 0, 96: 0, 97: 0, 98: 3, 99: 5, 100: 0, 101: 0, 102: 4, 103: 0, 104: 1, 105: 0, 106: 0, 107: 0, 108: 0, 109: 2, 110: 0, 111: 0, 112: 0, 113: 0, 114: 2, 115: 0, 116: 0, 117: 0, 118: 2, 119: 0, 120: 0, 121: 0, 122: 0, 123: 0, 124: 1, 125: 0, 126: 0, 127: 1, 128: 1, 129: 3, 130: 0, 131: 2, 132: 0, 133: 0, 134: 4, 135: 3, 136: 0, 137: 0, 138: 0, 139: 3, 140: 1, 141: 0, 142: 1, 143: 0, 144: 0, 145: 4, 146: 4, 147: 0, 148: 0, 149: 0, 150: 0, 151: 0, 152: 0, 153: 2, 154: 1, 155: 0, 156: 0, 157: 0, 158: 2, 159: 0, 160: 0, 161: 0, 162: 0, 163: 3, 164: 1, 165: 10, 166: 0, 167: 0, 168: 0, 169: 2, 170: 0, 171: 0, 172: 12, 173: 1, 174: 0, 175: 0, 176: 0, 177: 0, 178: 0, 179: 0, 180: 0, 181: 1, 182: 1, 183: 2, 184: 0, 185: 0, 186: 3, 187: 0, 188: 13, 189: 3, 190: 0, 191: 4, 192: 2, 193: 0, 194: 0, 195: 0, 196: 0, 197: 0, 198: 0, 199: 0, 200: 0, 201: 1, 202: 0, 203: 0, 204: 0, 205: 3, 206: 0, 207: 2, 208: 0, 209: 7, 210: 0, 211: 0, 212: 0, 213: 0, 214: 0, 215: 0, 216: 2, 217: 0, 218: 0, 219: 0, 220: 0, 221: 2, 222: 0, 223: 0, 224: 0, 225: 1, 226: 0, 227: 0, 228: 1, 229: 0, 230: 0, 231: 0, 232: 1, 233: 0, 234: 2, 235: 0, 236: 1, 237: 6, 238: 1, 239: 0, 240: 0, 241: 0, 242: 32, 243: 0, 244: 0, 245: 3, 246: 1, 247: 0, 248: 3, 249: 1, 250: 0, 251: 0, 252: 5, 253: 0, 254: 0, 255: 0, 256: 0, 257: 0, 258: 0, 259: 0, 260: 3, 261: 0, 262: 0, 263: 0, 264: 0, 265: 0, 266: 0, 267: 0, 268: 0, 269: 1, 270: 0}
