Iteration				Integer Solution(theta(x))			L(delta)			Integral Gap
       126			     179.635095  				       258.977377504   			79.3422825037
       127			     179.635095  				       258.971398236   			79.3363032363
       128			     179.635095  				       258.965441718   			79.3303467185
       129			     179.635095  				       258.959518203   			79.3244232029
       130			     179.635095  				       258.953626026   			79.3185310262
       131			     179.635095  				       258.947768748   			79.3126737477
       132			     179.635095  				       258.941952305   			79.3068573051
       133			     179.635095  				       258.936184822   			79.3010898218
       134			     179.635095  				       258.930420794   			79.2953257943
       135			     179.635095  				       258.924702916   			79.2896079162
       136			     179.635095  				       258.919023887   			79.2839288873
       137			     179.635095  				       258.913376119   			79.2782811193
       138			     179.635095  				       258.907774179   			79.2726791791
       139			     179.635095  				       258.902212179   			79.2671171787
       140			     179.635095  				       258.896692567   			79.2615975666
       141			     179.635095  				       258.891226823   			79.2561318231
       142			     179.635095  				       258.885803404   			79.2507084036
       143			     179.635095  				       258.880407844   			79.2453128441
       144			     179.635095  				       258.875052208   			79.2399572085
       145			     179.635095  				       258.869711845   			79.2346168452
       146			     179.635095  				       258.864397012   			79.229302012
       147			     179.635095  				       258.859108968   			79.2240139681
       148			     179.635095  				       258.853846789   			79.2187517892
       149			     179.635095  				       258.848610131   			79.2135151315
       150			     179.635095  				       258.843399279   			79.2083042792
       151			     179.635095  				       258.838213009   			79.2031180087
       152			     179.635095  				        258.83305079   			79.1979557901
       153			     179.635095  				       258.827912136   			79.1928171365
       154			     179.635095  				       258.822796508   			79.1877015077
       155			     179.635095  				        258.81770684   			79.1826118396
       156			     179.635095  				       258.812637759   			79.177542759
       157			     179.635095  				       258.807588195   			79.1724931954
       158			     179.635095  				       258.802559947   			79.1674649472
       159			     179.635095  				       258.797551348   			79.1624563484
       160			     179.635095  				       258.792562219   			79.1574672188
       161			     179.635095  				       258.787592047   			79.1524970466
       162			     179.635095  				       258.782640053   			79.1475450528
       163			     179.635095  				       258.777705414   			79.1426104136
       164			     179.635095  				       258.772787597   			79.137692597
       165			     179.635095  				       258.767885813   			79.1327908125
       166			     179.635095  				       258.762999922   			79.1279049225
       167			     179.635095  				       258.758129425   			79.1230344252
       168			     179.635095  				        258.75327088   			79.1181758797
       169			     179.635095  				       258.748425457   			79.1133304566
       170			     179.635095  				       258.743592561   			79.1084975606
       171			     179.635095  				       258.738771538   			79.1036765376
       172			     179.635095  				       258.733961919   			79.098866919
       173			     179.635095  				       258.729163175   			79.0940681746
       174			     179.635095  				       258.724374945   			79.0892799454
       175			     179.635095  				       258.719596192   			79.0845011924
       176			     179.635095  				       258.714826795   			79.0797317947
       177			     179.635095  				        258.71006629   			79.0749712903
       178			     179.635095  				        258.70531515   			79.0702201502
       179			     179.635095  				       258.700570914   			79.0654759138
       180			     179.635095  				       258.695834022   			79.0607390221
       181			     179.635095  				       258.691104102   			79.0560091018
       182			     179.635095  				       258.686380434   			79.0512854335
       183			     179.635095  				       258.681662697   			79.0465676974
       184			     179.635095  				       258.676950531   			79.0418555311
       185			     179.635095  				       258.672243674   			79.0371486741
       186			     179.635095  				       258.667541852   			79.0324468517
       187			     179.635095  				       258.662844888   			79.0277498881
       188			     179.635095  				       258.658152665   			79.0230576649
       189			     179.635095  				       258.653465407   			79.0183704072
       190			     179.635095  				       258.648782774   			79.0136877744
       191			     179.635095  				       258.644104429   			79.0090094286
       192			     179.635095  				       258.639430749   			79.0043357494
       193			     179.635095  				       258.634761774   			78.9996667744
       194			     179.635095  				         258.6300976   			78.9950026004
       195			     179.635095  				        258.62543842   			78.9903434198
       196			     179.635095  				       258.620784514   			78.9856895142
       197			     179.635095  				       258.616136319   			78.9810413188
       198			     179.635095  				       258.611494459   			78.9763994588
       199			     179.635095  				       258.606859796   			78.971764796
       200			     179.635095  				         258.6022336   			78.9671386004
       201			     179.635095  				       258.597617456   			78.9625224559
       202			     179.635095  				       258.593013422   			78.957918422
       203			     179.635095  				       258.588424405   			78.9533294048
       204			     179.635095  				       258.583853526   			78.9487585259
       205			     179.635095  				       258.579303968   			78.9442089679
       206			     179.635095  				       258.574778754   			78.9396837539
       207			     179.635095  				       258.570280064   			78.935185064
       208			     179.635095  				        258.56580972   			78.9307147203
       209			     179.635095  				       258.561368679   			78.9262736795
       210			     179.635095  				       258.556957157   			78.9218621573
       211			     179.635095  				       258.552574734   			78.917479734
       212			     179.635095  				       258.548220516   			78.9131255158
       213			     179.635095  				        258.54389305   			78.90879805
       214			     179.635095  				        258.53959083   			78.9044958297
       215			     179.635095  				       258.535312145   			78.9002171452
       216			     179.635095  				       258.531055263   			78.8959602627
       217			     179.635095  				       258.526818511   			78.8917235114
       218			     179.635095  				       258.522600341   			78.8875053408
       219			     179.635095  				       258.518399367   			78.883304367
       220			     179.635095  				       258.514214427   			78.8791194275
       221			     179.635095  				       258.510044456   			78.8749494558
       222			     179.635095  				       258.505888744   			78.8707937445
       223			     179.635095  				       258.501746538   			78.866651538
       224			     179.635095  				       258.497617364   			78.8625223636
       225			     179.635095  				       258.493500831   			78.8584058309
       226			     179.635095  				        258.48939662   			78.8543016198
       227			     179.635095  				       258.485304448   			78.8502094476
       228			     179.635095  				       258.481224053   			78.8461290525
       229			     179.635095  				       258.477155181   			78.8420601814
       230			     179.635095  				       258.473097581   			78.8380025809
       231			     179.635095  				       258.469050995   			78.8339559951
       232			     179.635095  				       258.465015165   			78.8299201655
       233			     179.635095  				       258.460989834   			78.8258948337
       234			     179.635095  				        258.45697475   			78.8218797499
       235			     179.635095  				        258.45296966   			78.81787466
       236			     179.635095  				       258.448974316   			78.8138793159
       237			     179.635095  				        258.44498849   			78.8098934897
       238			     179.635095  				       258.441011989   			78.8059169888
       239			     179.635095  				       258.437044545   			78.801949545
       240			     179.635095  				       258.433085963   			78.7979909633
       241			     179.635095  				       258.429136038   			78.7940410383
       242			     179.635095  				       258.425194584   			78.7900995836
       243			     179.635095  				       258.421261408   			78.7861664082
       244			     179.635095  				       258.417336327   			78.7822413267
       245			     179.635095  				       258.413419159   			78.7783241594
       246			     179.635095  				       258.409509733   			78.7744147335
       247			     179.635095  				       258.405607872   			78.7705128719
       248			     179.635095  				       258.401713415   			78.7666184148
       249			     179.635095  				       258.397826205   			78.7627312048
       250			     179.635095  				       258.393946091   			78.758851091
       251			     179.635095  				       258.390072929   			78.7549779291
       252			     179.635095  				       258.386206582   			78.7511115823
       253			     179.635095  				       258.382346922   			78.7472519216
       254			     179.635095  				       258.378493842   			78.7433988421
       255			     179.635095  				         258.3746472   			78.7395522001
       256			     179.635095  				         258.3708069   			78.7357119003
       257			     179.635095  				       258.366972848   			78.731877848
       258			     179.635095  				       258.363144949   			78.728049949
       259			     179.635095  				       258.359323127   			78.7242281273
       260			     179.635095  				        258.35550728   			78.7204122799
       261			     179.635095  				       258.351697343   			78.7166023429
       262			     179.635095  				       258.347893245   			78.7127982448
       263			     179.635095  				       258.344094918   			78.7089999181
       264			     179.635095  				       258.340302298   			78.7052072983
       265			     179.635095  				       258.336515323   			78.7014203234
       266			     179.635095  				       258.332733934   			78.6976389339
       267			     179.635095  				       258.328958073   			78.6938630728
       268			     179.635095  				       258.325187685   			78.6900926853
       269			     179.635095  				       258.321422717   			78.6863277174
       270			     179.635095  				       258.317663126   			78.6825681262
       271			     179.635095  				       258.313908856   			78.6788138565
       272			     179.635095  				       258.310159897   			78.6750648968
       273			     179.635095  				       258.306416294   			78.6713212936
       274			     179.635095  				       258.302678195   			78.6675831947
       275			     179.635095  				       258.298945898   			78.663850898
       276			     179.635095  				       258.295219885   			78.6601248854
       277			     179.635095  				       258.291500829   			78.6564058289
       278			     179.635095  				       258.287789568   			78.6526945681
       279			     179.635095  				       258.284087034   			78.6489920343
       280			     179.635095  				       258.280394186   			78.6452991859
       281			     179.635095  				       258.276711917   			78.6416169174
       282			     179.635095  				       258.273040974   			78.6379459739
       283			     179.635095  				       258.269381893   			78.6342868926
       284			     179.635095  				        258.26573497   			78.6306399703
       285			     179.635095  				        258.26210026   			78.6270052597
       286			     179.635095  				       258.258477593   			78.6233825928
       287			     179.635095  				       258.254866605   			78.6197716053
       288			     179.635095  				       258.251266802   			78.6161718024
       289			     179.635095  				       258.247677604   			78.6125826041
       290			     179.635095  				       258.244098391   			78.6090033914
       291			     179.635095  				       258.240528549   			78.6054335493
       292			     179.635095  				       258.236967499   			78.6018724991
       293			     179.635095  				       258.233414722   			78.5983197215
       294			     179.635095  				        258.22986977   			78.59477477
       295			     179.635095  				       258.226332277   			78.5912372766
       296			     179.635095  				       258.222801951   			78.5877069511
       297			     179.635095  				       258.219278577   			78.5841835769
       298			     179.635095  				       258.215762004   			78.5806670036
       299			     179.635095  				       258.212252125   			78.5771571248
       300			     179.635095  				       258.208748889   			78.573653889
       301			     179.635095  				       258.205252273   			78.5701572732
       302			     179.635095  				       258.201762278   			78.5666672784
       303			     179.635095  				       258.198278914   			78.5631839144
       304			     179.635095  				       258.194802199   			78.559707199
       305			     179.635095  				       258.191332151   			78.5562371509
       306			     179.635095  				       258.187868783   			78.5527737826
       307			     179.635095  				       258.184412098   			78.5493170981
       308			     179.635095  				       258.180962091   			78.5458670913
       309			     179.635095  				       258.177518745   			78.542423745
       310			     179.635095  				       258.174082032   			78.5389870316
       311			     179.635095  				       258.170651913   			78.5355569133
       312			     179.635095  				       258.167228344   			78.532133344
       313			     179.635095  				       258.163811271   			78.5287162706
       314			     179.635095  				       258.160400635   			78.5253056345
       315			     179.635095  				       258.156996374   			78.5219013736
       316			     179.635095  				       258.153598423   			78.5185034232
       317			     179.635095  				       258.150206719   			78.5151117193
       318			     179.635095  				       258.146821194   			78.511726194
       319			     179.635095  				        258.14344178   			78.50834678
       320			     179.635095  				       258.140068412   			78.5049734125
       321			     179.635095  				       258.136701027   			78.5016060269
       322			     179.635095  				       258.133339558   			78.4982445584
       323			     179.635095  				       258.129983942   			78.494888942
       324			     179.635095  				       258.126634112   			78.4915391119
       325			     179.635095  				       258.123290001   			78.4881950013
       326			     179.635095  				       258.119951542   			78.484856542
       327			     179.635095  				       258.116618664   			78.481523664
       328			     179.635095  				       258.113291296   			78.4781962961
       329			     179.635095  				       258.109969366   			78.4748743656
       330			     179.635095  				         258.1066528   			78.4715577998
       331			     179.635095  				       258.103341526   			78.4682465261
       332			     179.635095  				       258.100035474   			78.4649404738
       333			     179.635095  				       258.096734575   			78.4616395746
       334			     179.635095  				       258.093438764   			78.4583437643
       335			     179.635095  				       258.090147982   			78.4550529825
       336			     179.635095  				       258.086862174   			78.451767174
       337			     179.635095  				       258.083581291   			78.4484862908
       338			     179.635095  				       258.080305286   			78.4452102864
       339			     179.635095  				       258.077034123   			78.4419391231
       340			     179.635095  				       258.073767767   			78.4386727665
       341			     179.635095  				       258.070506186   			78.4354111856
       342			     179.635095  				       258.067249352   			78.4321543516
       343			     179.635095  				       258.063997237   			78.4289022374
       344			     179.635095  				       258.060749816   			78.425654816
       345			     179.635095  				        258.05750706   			78.4224120596
       346			     179.635095  				       258.054268938   			78.4191739384
       347			     179.635095  				       258.051035421   			78.4159404206
       348			     179.635095  				       258.047806471   			78.4127114712
       349			     179.635095  				       258.044582052   			78.4094870521
       350			     179.635095  				       258.041362122   			78.4062671222
       351			     179.635095  				       258.038146637   			78.4030516368
       352			     179.635095  				       258.034935548   			78.3998405484
       353			     179.635095  				       258.031728808   			78.3966338076
       354			     179.635095  				       258.028526363   			78.393431363
       355			     179.635095  				       258.025328162   			78.3902331621
       356			     179.635095  				       258.022134152   			78.3870391525
       357			     179.635095  				        258.01894428   			78.3838492801
       358			     179.635095  				       258.015758493   			78.3806634929
       359			     179.635095  				        258.01257674   			78.3774817401
       360			     179.635095  				       258.009398973   			78.3743039725
       361			     179.635095  				       258.006225143   			78.371130143
       362			     179.635095  				       258.003055207   			78.3679602066
       363			     179.635095  				       257.999889121   			78.364794121
       364			     179.635095  				       257.996726847   			78.3616318466
       365			     179.635095  				       257.993568346   			78.3584733463
       366			     179.635095  				       257.990413585   			78.3553185855
       367			     179.635095  				       257.987262532   			78.352167532
       368			     179.635095  				       257.984115155   			78.3490201554
       369			     179.635095  				       257.980971428   			78.3458764276
       370			     179.635095  				       257.977831322   			78.3427363219
       371			     179.635095  				       257.974694813   			78.339599813
       372			     179.635095  				       257.971561876   			78.3364668763
       373			     179.635095  				       257.968432488   			78.3333374881
       374			     179.635095  				       257.965306625   			78.3302116251
       375			     179.635095  				       257.962184264   			78.3270892643
       376			     179.635095  				       257.959065383   			78.3239703828
       377			     179.635095  				       257.955949957   			78.3208549567
       378			     179.635095  				       257.952837963   			78.317742963
       379			     179.635095  				       257.949729378   			78.3146343784
       380			     179.635095  				       257.946624179   			78.311529179
       381			     179.635095  				       257.943522341   			78.3084273409
       382			     179.635095  				        257.94042384   			78.3053288404
       383			     179.635095  				       257.937328653   			78.3022336532
       384			     179.635095  				       257.934236755   			78.2991417554
       385			     179.635095  				       257.931148123   			78.2960531234
       386			     179.635095  				       257.928062734   			78.2929677336
       387			     179.635095  				       257.924980563   			78.2898855628
       388			     179.635095  				       257.921901588   			78.2868065885
       389			     179.635095  				       257.918825788   			78.2837307882
       390			     179.635095  				        257.91575314   			78.2806581403
       391			     179.635095  				       257.912683624   			78.2775886236
       392			     179.635095  				       257.909617217   			78.2745222175
       393			     179.635095  				       257.906553902   			78.271458902
       394			     179.635095  				       257.903493657   			78.2683986575
       395			     179.635095  				       257.900436465   			78.2653414653
       396			     179.635095  				       257.897382307   			78.2622873065
       397			     179.635095  				       257.894331163   			78.2592361631
       398			     179.635095  				       257.891283018   			78.2561880175
       399			     179.635095  				       257.888237852   			78.2531428524
       400			     179.635095  				       257.885195651   			78.2501006507
       401			     179.635095  				       257.882156396   			78.2470613957
       402			     179.635095  				       257.879120071   			78.2440250709
       403			     179.635095  				        257.87608666   			78.24099166
       404			     179.635095  				       257.873056147   			78.2379611469
       405			     179.635095  				       257.870028516   			78.2349335159
       406			     179.635095  				       257.867003751   			78.2319087512
       407			     179.635095  				       257.863981837   			78.2288868374
       408			     179.635095  				       257.860962759   			78.2258677593
       409			     179.635095  				       257.857946502   			78.2228515019
       410			     179.635095  				        257.85493305   			78.2198380504
       411			     179.635095  				        257.85192239   			78.2168273903
       412			     179.635095  				       257.848914507   			78.2138195075
       413			     179.635095  				       257.845909388   			78.2108143879
       414			     179.635095  				       257.842907018   			78.2078120181
       415			     179.635095  				       257.839907385   			78.2048123847
       416			     179.635095  				       257.836910474   			78.2018154744
       417			     179.635095  				       257.833916274   			78.1988212744
       418			     179.635095  				       257.830924772   			78.1958297725
       419			     179.635095  				       257.827935956   			78.1928409562
       420			     179.635095  				       257.824949814   			78.1898548138
       421			     179.635095  				       257.821966333   			78.1868713334
       422			     179.635095  				       257.818985504   			78.1838905036
       423			     179.635095  				       257.816007313   			78.1809123131
       424			     179.635095  				       257.813031751   			78.1779367508
       425			     179.635095  				       257.810058806   			78.1749638059
       426			     179.635095  				       257.807088468   			78.1719934677
       427			     179.635095  				       257.804120726   			78.1690257256
       428			     179.635095  				       257.801155569   			78.1660605692
       429			     179.635095  				       257.798192988   			78.1630979884
       430			     179.635095  				       257.795232973   			78.1601379728
       431			     179.635095  				       257.792275513   			78.1571805127
       432			     179.635095  				       257.789320598   			78.1542255981
       433			     179.635095  				       257.786368219   			78.1512732193
       434			     179.635095  				       257.783418367   			78.1483233668
       435			     179.635095  				       257.780471031   			78.1453760309
       436			     179.635095  				       257.777526202   			78.1424312025
       437			     179.635095  				       257.774583872   			78.1394888723
       438			     179.635095  				       257.771644031   			78.1365490312
       439			     179.635095  				        257.76870667   			78.1336116704
       440			     179.635095  				       257.765771781   			78.1306767811
       441			     179.635095  				       257.762839355   			78.1277443546
       442			     179.635095  				       257.759909383   			78.1248143825
       443			     179.635095  				       257.756981856   			78.1218868564
       444			     179.635095  				       257.754056768   			78.1189617681
       445			     179.635095  				        257.75113411   			78.1160391096
       446			     179.635095  				       257.748213873   			78.1131188728
       447			     179.635095  				        257.74529605   			78.11020105
       448			     179.635095  				       257.742380633   			78.1072856334
       449			     179.635095  				       257.739467615   			78.1043726153
       450			     179.635095  				       257.736556988   			78.1014619881
       451			     179.635095  				       257.733648744   			78.098553744
       452			     179.635095  				       257.730742875   			78.0956478754
       453			     179.635095  				       257.727839374   			78.092744374
       454			     179.635095  				       257.724938232   			78.0898432318
       455			     179.635095  				        257.72203944   			78.0869444402
       456			     179.635095  				        257.71914299   			78.0840479902
       457			     179.635095  				       257.716248873   			78.0811538726
       458			     179.635095  				       257.713357078   			78.0782620778
       459			     179.635095  				       257.710467596   			78.0753725958
       460			     179.635095  				       257.707580416   			78.0724854163
       461			     179.635095  				       257.704695529   			78.069600529
       462			     179.635095  				       257.701812923   			78.0667179232
       463			     179.635095  				       257.698932588   			78.0638375883
       464			     179.635095  				       257.696054514   			78.0609595137
       465			     179.635095  				       257.693178689   			78.0580836888
       466			     179.635095  				       257.690305104   			78.0552101035
       467			     179.635095  				       257.687433748   			78.0523387476
       468			     179.635095  				       257.684564611   			78.0494696113
       469			     179.635095  				       257.681697685   			78.0466026851
       470			     179.635095  				        257.67883296   			78.0437379598
       471			     179.635095  				       257.675970426   			78.0408754263
       472			     179.635095  				       257.673110076   			78.038015076
       473			     179.635095  				         257.6702519   			78.0351569002
       474			     179.635095  				       257.667395891   			78.0323008906
       475			     179.635095  				       257.664542039   			78.0294470388
