#Train-Size      #Avg-Token Error(Test)    #Avg-Token Error(Train)
100					0.1692				0.0672
200					0.1460				0.0777
300		 			0.1328			    0.0878
400					0.1255				0.0901
500		 			0.1225				0.0935	
600					0.1210				0.0965
700		 			0.1175				0.0967
800		 			0.1169				0.0972
900		 			0.1159				0.0975
1000				0.1140				0.0988
